No,NPSN,Nama Sekolah,Kab/Kota,Jumlah Siswa,Jumlah Dana
19,30401056,SMKS Al Khairiyah Samarinda,Samarinda,66,"149,820,000"
20,30407724,SMKS Jamiatul Muttaqin,Samarinda,97,"220,190,000"
21,30401085,SMKS Miftahul Ulum Samarinda,Samarinda,90,"204,300,000"
22,30407767,SMKS Medika Samarinda,Samarinda,"1,410","3,200,700,000"
23,30406109,SMKS TI Pratama PGRI Samarinda,Samarinda,38,"86,260,000"
24,30403014,SMKS Cendana DDI Samarinda,Samarinda,151,"342,770,000"
25,30406107,SMKS Al Azhar Samarinda,Samarinda,53,"120,310,000"
26,30401070,SMKS Istiqomah Muhammadiyah 4 Samarinda,Samarinda,604,"1,371,080,000"
27,30401090,SMKS YPS Samarinda,Samarinda,70,"158,900,000"
28,30401778,SMKS YP RIGOMASI BONTANG,Bontang,125,"288,750,000"
29,30405691,SMKS NUSANTARA MANDIRI,Bontang,471,"1,088,010,000"
30,30407788,SMKS CENDIKIA,Bontang,96,"221,760,000"
31,30401783,SMKS MUHAMMADIYAH BONTANG,Bontang,55,"127,050,000"
32,69755557,SMKS IT BANI ABDURRAHMAN,Bontang,113,"261,030,000"
33,30401779,SMKS YKPP BONTANG,Bontang,144,"332,640,000"
34,30409872,SMKS GALILEA,Bontang,37,"85,470,000"
35,30401781,SMKS PUTRA BANGSA BONTANG,Bontang,462,"1,067,220,000"
36,30401784,SMKS MARITIM INDONESIA,Bontang,61,"140,910,000"
37,30401512,SMKS KARTIKA V 1 BALIKPAPAN,Balikpapan,"1,526","3,387,720,000"
38,70040456,SMK CENDEKIA AL-IZZAH,Balikpapan,43,"95,460,000"
39,30401486,SMKS PANCA DHARMA BALIKPAPAN,Balikpapan,533,"1,183,260,000"
40,69960805,SMK PERSADA BHAKTI BALIKPAPAN,Balikpapan,329,"730,380,000"
41,69894554,SMK BINA PRESTASI AMI BALIKPAPAN,Balikpapan,289,"641,580,000"
42,30401463,SMKS SABILAL MUHTADIN BALIKPAPAN,Balikpapan,52,"115,440,000"
43,69869763,SMK BHAKTI INDONESIA,Balikpapan,8,"17,760,000"
44,30406263,SMKS NAHDLATUL ULAMA BALIKPAPAN,Balikpapan,81,"179,820,000"
45,30401511,SMKS MUHAMMADIYAH 1 BALIKPAPAN,Balikpapan,132,"293,040,000"
46,30401515,SMKS DUTA BANGSA BALIKPAPAN,Balikpapan,244,"541,680,000"
47,30401464,SMKS PERTIWI BALIKPAPAN,Balikpapan,329,"730,380,000"
48,30402922,SMKS MULAWARMAN BALIKPAPAN,Balikpapan,45,"99,900,000"
49,30401460,SMKS SYAICHONA CHOLIL,Balikpapan,41,"91,020,000"
50,69939919,SMK NURUL KHAERAT LIL MUHIBBIN,Balikpapan,6,"13,320,000"
51,69786293,SMKS KESEHATAN AIRLANGGA,Balikpapan,446,"990,120,000"
